var1E,var1D,var2E,var2D,var3E,var3D,var4E,var4D,var5E,var5D,var6E,var6D,var7E,var7D,var8E,var8D,var9E,var9D,var10E,var10D,var11E,var11D,var12E,var12D,var13E,var13D,var14E,var14D,var15E,var15D,var16E,var16D,var17E,var17D,var18E,var18D,var19E,var19D,var20E,var20D,var21E,var21D,var22E,var22D,var23E,var23D,var24E,var24D,var25E,var25D,var26E,var26D,var27E,var27D,var28E,var28D,var29E,var29D,var30E,var30D,var31E,var31D,var32E,var32D,var33E,var33D,var34E,var34D,var35E,var35D,var36E,var36D
employee*,arbeider*,employer*,werkgever*,self-employed,zelfstandige,unemployed,werkloos,scientists,wetenschappers,farmers,boeren, teachers,leraren,soldiers,soldaten,* on low income,* met een laag inkomen,middle income earners,middeninkomensverdieners,the rich,de rijken,apprentices,leerlingen,pupil*,leerling,student*,student*,pakistani,surinamers,families,gezinnen,married couples,getrouwde stellen,children*,kinderen,* parent*,ouder*,* year old*,* jaar oud*,middle-aged people,mensen van middelbare leeftijd,old people,gepensioneerden,men,manen,women,vrouwen,gay*,homoseksueel,persons with disabilities,personen met een handicap,*migrant*,*migrant*,asylum seeker*,asielzoeker,christians,christenen,homeowners,huiseigenaren,homeless pepole,dakloze mensen,country dwellers,plattelandsbewoners,city dwellers,stadsbewoners,offender*,overtreder*,crime victims,slachtoffers van criminaliteit,addicts,verslaafden
worker*,werker*,bosses,bazen,NA,zelfstandig ondernemer,those without a job,werkloos persoon,physicians,artsen, primary producers,primaire producenten, nurses,docenten,policemen,politieagenten,poor people,arme mensen,middle class,middenklasse,high earners,mensen met hoge inkomens,trainees,leerling-werknemers,NA,student,undergraduates,studenten,bangledeshi,molukkers,families with children,gezinnen met kinderen,widows,gehuwde koppels,kids,kind,mothers,moeders,young people,jongeren,NA,middelbare leeftijdsgroep,older people,ouderen,NA,NA,NA,NA,trans,homoseksuelen,handicapped,gehandicapt,non-citizens,niet-burgers,refugee*,vluchteling,catholics,christelijk,property owners,vastgoedeigenaren,the homeless,de daklozen,rural residents,degenen die in landelijke gebieden wonen,ubranites,stedelingen,criminals,dader*,victims of crime*,slachtoffers van misdrijven,bike commuters,fietsforensen
NA,werknemer*,business owners,ondernemer*,NA,NA,the jobless,werkloze,GP,huisarts, carpenters,timmerlieden, aircrew*,verpleegkundigen,Garda*,agenten,the poor,de armen,average earners,gemiddelde inkomensverdieners,aristocrats,aristocraten,interns,stagiaires,NA,NA,poorer students,studerenden,bengali,zuid-molukkers,family,familie,singles,weduwen,child,kinderen in gevaar,fathers,vaders,youths,jongeren,NA,NA,pensioners, 65-plussers,NA,NA,NA,NA,lesbian*,gay,chronically ill,chronisch ziek,illegal aliens,niet-onderdanen,refugee children,vluchtelingen,protestants,katholieken,houseowners,bezitters van onroerend goed,people living on the street*,mensen die op straat leven,those who live in rural areas,plattelandsbevolking,urban residents,stadsbewoners,yob*,criminelen,victims of violence,slachtoffers van geweld,consumers,fietspendelaars
NA,NA,business people,zakelijke mensen,NA,NA,jobseekers,mensen zonder baan,GPs,huisartsen, plumbers,schrijnwerkers, carers,verplegers,constables,veteranen,those on the poverty line,degenen die op of onder de armoedegrens leven,* on modest income*,* met een bescheiden inkomen*,the 1%,de 1%,NA,trainees,NA,NA,NA,scholieren,indian,turkse immigranten,low-income families,gezinnen met een laag inkomen,single people,alleenstaanden,children at risk,kleuters,parents,alleenstaande ouders,adolescent*,adolescent,NA,NA,senior citizens,AOW’ers,NA,NA,NA,NA,queer,trans,disabled people,gehandicapte mensen,foreigners,illegale vreemdelingen,NA,vluchtelingenkinderen,anglicans,protestanten,home owners,huisbezitters,unhoused people,ontheemde mensen,rural population,bewoners van landelijke gebieden,city residents,inwoners van de stad,prisoner*,gevangene*,victims of abuse,slachtoffers van misbruik,patients,consumenten
NA,NA,NA,zakenmensen,NA,NA,people without employment,personen zonder werk,GP's,managers, blacksmiths,loodgieters, clinical staff,vliegtuigbemanning,veterans,militair personeel,benefit recipients,uitkeringsgerechtigden,NA,NA,high income earners,mensen met een hoog inkomen,NA,internen,NA,NA,NA,armere studenten,chinese,turken,one-parent families,eenoudergezinnen,childless couples,vrijgezellen,pre school children,kinderen op de kleuterschool,lone parents,alleenstaande vaders,young adults,puber,NA,NA,elderly,bejaarden,NA,NA,NA,NA,intersex,transgender,mentally ill,geestesziek,*migrant workers,buitenlanders,NA,NA,evangelicals,anglicanen,houseowners,woningeigenaren,NA,NA,rural inhabitans,mensen die in landelijke gebieden wonen en werken,NA,NA,drug traffickers and barons,drugshandelaren en -baronnen,victims of rape,slachtoffers van verkrachting,drug misusers,patiënten
NA,NA,NA,NA,NA,NA,long-term unemployed,mensen zonder een baan,managers,ambtenaren, toolmakers,smeden, tellers,verzorgers,bobbies,leden van de strijdkrachten,the lowest paid,de laagstbetaalden,NA,NA,the wealthy,de welgestelden,NA,NA,NA,NA,NA,studenten met minder geld,traveller community,marokkaanse immigranten,NA,NA,spouses,kinderloze stellen,children of working families,kinderen van werkende gezinnen,single parents,NA,*year-old*,*-jarige*,NA,NA,retired people,oude mensen,NA,NA,NA,NA,asexual,lesbisch,disabled persons,gehandicapte personen,foreign born,*migrantenarbeiders,NA,NA,reformed,evangelisten,home buyers,woningkopers,NA,NA,residents of rural areas,plattelandsgemeenschappen,NA,NA,foreign criminals,buitenlandse criminelen,victims of violent crime*,slachtoffers van gewelddadige misdrijven,gamblers,drugsgebruikers
NA,NA,NA,NA,NA,NA,unemployed person,langdurig werklozen,civil servants,psychologen, welders,gereedschapsmakers, travel attendants,klinisch personeel,military personnel,wetshandhavingsfunctionarissen,chavs,arbeidersklasse,NA,NA,upper class,de hogere klasse,NA,NA,NA,NA,NA,NA,travellers,marokkanen,NA,NA,unmarried persons,echtgenoten,NA,NA,single mothers,alleenstaande moeders,* year-old*,onder de -*,NA,NA,retirees,oudere mensen,NA,NA,NA,NA,transexual*,lesbienne*,chronically sick,invaliden,people under resettlement,in het buitenland geboren,NA,NA,jewish people,evangeliërs,home purchasers,verhuurders,NA,NA,people living and working in rural areas,forenzen,NA,NA,foreign national offenders,buitenlandse delinquenten,victims,slachtoffers,politicians,drugsverslaafden
NA,NA,NA,NA,NA,NA,NA,langdurig werkloos,psychologists,psychiaters, smelters,lassers, conductors,kassamedewerkers,members of the armed forces,handhavingsambtenaren,working class,werkende klasse,NA,NA,milionaires,miljonairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,partners,NA,NA,single fathers,NA,under-*,boven de -*,NA,NA,people nearing retirement age,senioren,NA,NA,NA,NA,transgender,queer,people with disabilities,lichamelijk of geestelijk gehandicapten,irish emigrant,mensen onder hervestiging,NA,NA,jews,evangelischen,landlords,huisbazen,NA,NA,rural communities,plattelands- en kustgemeenschappen,NA,NA,people smugglers,mensensmokkelaars,NA,NA,prisoners,gokkers
NA,NA,NA,NA,NA,NA,NA,uitkeringsgerechtigden,psychiatrists,dokters, painters,smelters, pilots,bankmedewerkers,law enforcement officials,strijdkrachten,lower class,lagere klasse,NA,NA,bilionaires,miljardairs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongehuwde personen,NA,NA,NA,NA,over-*,NA,NA,NA,NA,met pensioen,NA,NA,NA,NA,transvestite*,intersekse,invalids,mensen met een geestesziekte,settles migrants,gesettelde migranten,NA,NA,non-believers,gereformeerden,landowners,grondeigenaren,NA,NA,commuters,NA,NA,NA,sex offenders,zedendelinquenten,NA,NA,those from the most disadvantaged backgrounds,spelers
NA,NA,NA,NA,NA,NA,NA,arbeidsongeschikten,doctors,ingenieurs, electricians,schilders, maids,reisbegeleiders,police officers,gewapende machten,low income earners,onderklasse,NA,NA,super-rich,superrijken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gepensioneerde werknemers,NA,NA,NA,NA,bisexual,interseksueel,spastic*,lichamelijk gehandicapte personen,NA,vreemdelingen,NA,NA,hindus,reformatorisch,tenants,huurders,NA,NA,rural and coastal communities,NA,NA,NA,terrorist offenders,terroristische delinquenten,NA,NA,NA,politici
